event_name,timestamp,trial_index,type,lv_ratio_ms,wind_delay_ms,wind_dir,initial_angle,ttc,duration
trial_start,4.260318199998437,0.0,looming_wind,100.0,1000.0,left,,,
first_frame,19.84694640000089,,,,,,2.000001326316371,,
target_angle_reached,9.618031199999677,,,,,,,0.37130906307546674,
looming_completed,9.902192699999432,,,,,,,0.08714756307571214,
iti_start,9.918411200000264,,,,,,,,1.003896603297894
trial_start,10.935310100001516,1.0,baseline_visual,100.0,,none,,,
first_frame,26.515420299998368,,,,,,2.0000013961230794,,
target_angle_reached,16.301555400001234,,,,,,,0.36276646307495675,
looming_completed,16.569117399998504,,,,,,,0.09520446307768715,
iti_start,16.58566829999836,,,,,,,,1.4848997906461079
trial_start,18.087861500000145,2.0,looming_wind,20.0,1000.0,right,,,
first_frame,33.66526470000099,,,,,,2.0000195458903063,,
target_angle_reached,19.168667599999026,,,,,,,0.06504043261631298,
looming_completed,19.219057300000713,,,,,,,0.01465073261462524,
iti_start,19.23557129999972,,,,,,,,1.8176149758194078
trial_start,21.069113400000788,3.0,looming_wind,20.0,200.0,left,,,
first_frame,36.66376709999895,,,,,,2.0000116925871683,,
target_angle_reached,22.15204509999967,,,,,,,0.06290513261521258,
looming_completed,22.201867600000696,,,,,,,0.01308263261418463,
iti_start,22.219176599999628,,,,,,,,1.1325913086725548
trial_start,23.354227799998625,4.0,looming_wind,100.0,1000.0,right,,,
first_frame,38.93266809999841,,,,,,2.000003071471569,,
target_angle_reached,28.718583699999726,,,,,,,0.3646796630765383,
looming_completed,28.985816299998987,,,,,,,0.09744706307727746,
iti_start,29.00208919999932,,,,,,,,1.8209182372223651
trial_start,30.837703299999703,5.0,baseline_visual,100.0,,none,,,
first_frame,46.41579859999911,,,,,,2.000005270373816,,
target_angle_reached,36.2014522999998,,,,,,,0.36531686307542977,
looming_completed,36.46909059999962,,,,,,,0.09767856307561296,
iti_start,36.485764400000335,,,,,,,,1.0329341249724235
trial_start,37.521250800000416,6.0,looming_wind,100.0,200.0,left,,,
first_frame,53.098755099999835,,,,,,2.0000035601169412,,
target_angle_reached,42.88526189999902,,,,,,,0.3650203630769173,
looming_completed,43.152695500000846,,,,,,,0.0975867630750944,
iti_start,43.16902050000135,,,,,,,,1.7415159924389187
trial_start,44.91986349999934,7.0,baseline_wind,,0.0,left,,,
wind_triggered,46.92042650000076,,,,,,,,
iti_start,48.936696000000666,,,,,,,,1.1014085725615654
trial_start,50.05458020000151,8.0,looming_wind,20.0,0.0,left,,,
first_frame,65.6324526999997,,,,,,2.000019022336961,,
target_angle_reached,51.135196799998084,,,,,,,0.06521963261658814,
looming_completed,51.18598919999931,,,,,,,0.014427232615360053,
iti_start,51.20231459999923,,,,,,,,1.7535367690544708
trial_start,52.97039429999859,9.0,baseline_wind,,0.0,right,,,
wind_triggered,54.987470699998084,,,,,,,,
iti_start,56.987235199998395,,,,,,,,1.324655051766231
trial_start,58.31956150000042,10.0,looming_wind,20.0,0.0,right,,,
first_frame,73.89904970000134,,,,,,2.0000109945194677,,
target_angle_reached,59.401622000001225,,,,,,,0.06375973261421453,
looming_completed,59.45232780000151,,,,,,,0.0130539326139274,
iti_start,59.468739600000845,,,,,,,,1.4011233705729587
trial_start,60.887705500001175,11.0,looming_wind,100.0,200.0,right,,,
first_frame,76.46557079999911,,,,,,2.000004188372545,,
target_angle_reached,66.25187279999955,,,,,,,0.36488336307783165,
looming_completed,66.51907389999906,,,,,,,0.09768226307832073,
iti_start,66.53498359999867,,,,,,,,1.647585409352025
trial_start,68.18653139999878,12.0,looming_wind,20.0,200.0,right,,,
first_frame,83.76577510000061,,,,,,2.0000120416243754,,
target_angle_reached,69.26915160000135,,,,,,,0.06320583261296409,
looming_completed,69.32045899999866,,,,,,,0.011898432615651044,
iti_start,69.33624520000012,,,,,,,,1.027748872056625
trial_start,70.36950660000002,13.0,looming_wind,100.0,0.0,left,,,
first_frame,85.94918250000046,,,,,,2.000003315794226,,
target_angle_reached,75.73481660000107,,,,,,,0.36371416307346216,
looming_completed,76.00195859999803,,,,,,,0.09657216307649641,
iti_start,76.0189719000009,,,,,,,,1.799738459306079
trial_start,77.83524409999882,14.0,looming_wind,100.0,0.0,right,,,
first_frame,93.41581080000105,,,,,,2.0000028271502424,,
target_angle_reached,83.20150999999896,,,,,,,0.3627792630778348,
looming_completed,83.46866619999855,,,,,,,0.09562306307824464,
iti_start,83.48588240000026,,,,,,,,1.6645014776518843
trial_start,85.15391929999896,15.0,looming_wind,20.0,1000.0,left,,,
first_frame,100.73230049999984,,,,,,2.0000153574521753,,
target_angle_reached,86.23549160000039,,,,,,,0.06426823261537495,
looming_completed,86.28565349999917,,,,,,,0.014106332616590889,
